Tag,Content
SecondRope,"(Du wickelst noch mehr Seile um ihre Beine|und zwingst sie, auf dem Boden zu knien.)"
FirstRope,"(Du umrundest ihren Körper mit dem Seil,|während sie vergnügt deine Fesselkunst testet.)"
Cuffs,"(Sie nickt fröhlich, während du ihr hinter|dem Rücken Handschellen anlegst.)"
BallGag,"(Sie bewegt ihren Kopf zu dir, damit|du sie einfacher knebeln kannst.)"
TapeGag,"(Sie bewegt ihren Kopf zu dir, damit|du sie einfacher knebeln kannst.)"
Uncuff,"(Sie versucht spaßeshalber zu verhindern, dass du die|Handschellen entfernst, aber es gelingt dir schließlich.)"
Crop,"(Du peitschst geschwind auf ihre Brust, während|sie offenbar vor Freude schreit.)"
VibratingEgg,"(Sie nickt beim Anblick des Eis und spreizt die|Beine, damit du es einführen kannst.)"
Collar,"(Du brauchst mind. +20 Dominanz und eine|Zeremonie, um Sarah ein Halsband anzulegen.)"
BackFromRestroom,(Sarah kehrt endlich von der Toilette|zurück und setzt sich.)
OpenRestroomDoor,"(Sarah öffnet die Tür und lässt dich rein.)|Komm rein, komm rein! Was ist denn?"
Orgasm,(Ihr explodiert beide fast zur gleichen Zeit|mit einem wundervollen Orgasmus.)
LeaveBoundAndGagged,"(Willst du sie wirklich gefesselt und|geknebelt im Stich lassen? Wenn ja, klicke erneut.)"
