Tag,Content
EatAlone1,"Da du zu schüchtern oder nicht in der Lage warst,|eine Freundin zu finden, isst du alleine zu Mittag."
EatAlone2,Du findest ein Restaurant in der Nähe der Schule und sitzt einsam da.
EatAlone3,Nach deiner Mahlzeit begibst du dich|zu deiner nächsten Unterrichtsstunde.
Evil1,"Du drehst dich grinsend um, während sie zappelt."
Early1,Erschöpft und angespannt verlässt du die Mittagspause.
EvilEarly2,Du gehst zurück zu den Schließfächern und die Glocke läutet.
EvilEarly3,Beeilung! Komm nicht zu spät zu deiner nächsten Stunde.
RegularBonus1,Die Glocke läutet und ihr geht gemeinsam zur Schule zurück.
Regular2,Ihr winkt euch zum Abschied und geht zu euren Schließfächern.
Bonus2,"Bevor ihr euch trennt, wirft sie dir eine liebevolle Kusshand zu."
RegularBonus3,Beeilung! Komm nicht zu spät zu deiner nächsten Stunde.
NoFood1,Du wirst freigelassen und die Glocke läutet auf deinem Rückweg.
NoFood2,"Dein Magen knurrt, aber die Zeit reicht nicht mehr."
NoFood3,Beeilung! Komm nicht zu spät zu deiner nächsten Stunde.
Kinbaku1,"Alle werden freigelassen, bevor die Glocke läutet."
Kinbaku2,Natalie gibt dir ein Anmeldeformular für den Club.
Kinbaku3,Du gehst zurück und begibst dich zu deiner nächsten Unterrichtsstunde.
